age;gender;w2efftrst14;w2efftrst15;w2efftrst16;w2efftrst18;populism_sum;populism;w2eupan1;w2eupan2;w2eupan3;w2eupan4;w2eupan5;w2eupan6;w2eupan7;w2eupan8;w2eupan9;w2eupan10;nativism_sum;nativism;w5EUref1;w6EUref1;w7EUref1;w10EUref1
72;1;4;4;4;5;17;4,25;4;2;4;4;5;2;3;2;3;2;31;3,1;3;3;3;3
72;0;;;;;;;;;;;;;;;;;;;3;1;1;3
27;1;3;3;3;1;10;2,5;3;3;4;3;3;3;3;3;3;2;30;3;1;2;2;
48;1;4;4;4;5;17;4,25;2;1;3;3;3;1;1;1;3;1;19;1,9;1;1;1;1
56;1;;;;;;;;;;;;;;;;;;;1;1;1;
48;1;5;3;3;4;15;3,75;2;2;2;2;3;1;2;1;1;1;17;1,7;;;;
32;0;;;;;;;;;;;;;;;;;;;3;1;3;1
58;1;4;4;3;4;15;3,75;2;2;3;4;5;3;2;2;3;2;28;2,8;1;1;1;
50;0;;;;;;;;;;;;;;;;;;;1;1;1;1
62;1;4;4;4;4;16;4;4;2;4;4;5;2;4;2;3;2;32;3,2;2;2;2;1
76;0;3;3;4;5;15;3,75;5;3;5;5;5;3;3;5;5;3;42;4,2;2;2;3;
48;1;3;3;3;3;12;3;2;2;2;3;4;1;3;1;3;2;23;2,3;1;1;1;1
35;1;;;;;;;;;;;;;;;;;;;3;3;3;
33;0;;;;;;;;;;;;;;;;;;;;;;
66;0;;;;;;;;;;;;;;;;;;;3;;;
68;0;;;;;;;;;;;;;;;;;;;1;1;1;1
32;1;;;;;;;;;;;;;;;;;;;3;3;;
